run_name,model,data,shmr,zcut,has_uvlf,has_bg,has_cmb,use_donnan_bins,use_finkelstein_bins,n_sampled_params,folder_path
exo_ceers_fixed_restr,exo,ceers,fixed,restr,True,False,False,False,True,5,exotic/restr/fixed/exo_ceers_fixed_restr
exo_primer_fixed_restr,exo,primer,fixed,restr,True,False,False,True,False,5,exotic/restr/fixed/exo_primer_fixed_restr
exo_uvlf_fixed_restr,exo,uvlf,fixed,restr,True,False,False,True,True,5,exotic/restr/fixed/exo_uvlf_fixed_restr
exo_ceers_bg_fixed_restr,exo,ceers_bg,fixed,restr,True,True,False,False,True,5,exotic/restr/fixed/exo_ceers_bg_fixed_restr
exo_primer_bg_fixed_restr,exo,primer_bg,fixed,restr,True,True,False,True,False,5,exotic/restr/fixed/exo_primer_bg_fixed_restr
exo_uvlf_bg_fixed_restr,exo,uvlf_bg,fixed,restr,True,True,False,True,True,5,exotic/restr/fixed/exo_uvlf_bg_fixed_restr
exo_ceers_cmb_fixed_restr,exo,ceers_cmb,fixed,restr,True,False,True,False,True,8,exotic/restr/fixed/exo_ceers_cmb_fixed_restr
exo_primer_cmb_fixed_restr,exo,primer_cmb,fixed,restr,True,False,True,True,False,8,exotic/restr/fixed/exo_primer_cmb_fixed_restr
exo_uvlf_cmb_fixed_restr,exo,uvlf_cmb,fixed,restr,True,False,True,True,True,8,exotic/restr/fixed/exo_uvlf_cmb_fixed_restr
exo_ceers_bg_cmb_fixed_restr,exo,ceers_bg_cmb,fixed,restr,True,True,True,False,True,8,exotic/restr/fixed/exo_ceers_bg_cmb_fixed_restr
exo_primer_bg_cmb_fixed_restr,exo,primer_bg_cmb,fixed,restr,True,True,True,True,False,8,exotic/restr/fixed/exo_primer_bg_cmb_fixed_restr
exo_uvlf_bg_cmb_fixed_restr,exo,uvlf_bg_cmb,fixed,restr,True,True,True,True,True,8,exotic/restr/fixed/exo_uvlf_bg_cmb_fixed_restr
exo_ceers_vbeta_restr,exo,ceers,vbeta,restr,True,False,False,False,True,6,exotic/restr/vbeta/exo_ceers_vbeta_restr
exo_primer_vbeta_restr,exo,primer,vbeta,restr,True,False,False,True,False,6,exotic/restr/vbeta/exo_primer_vbeta_restr
