2D GRID SCAN RESULTS
a_exo_test = -2.5,  b_exo_test = 1.0
Metric: sigma8_exo(z) / sigma8_LCDM(z)
Value > 1.0 means growth enhancement at that redshift

   z_c   sigma_z  z=6.5  z=7.5  z=8.5  z=9.5  z=10.5  z=11.5  z=12.5  z=13.5  z=14.5  z=15.5  z=16.5  z=17.5  z=18.5  z=20.0
   4.0      10.4  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.0      10.6  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.0      10.8  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.0      11.0  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999
   4.0      11.2  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9998  0.9999
   4.0      11.4  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      11.6  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      11.8  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      12.0  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      12.2  0.9988  0.9991  0.9993  0.9994  0.9995  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
   4.0      12.4  0.9988  0.9991  0.9993  0.9995  0.9996  0.9996  0.9997  0.9997  0.9998  0.9998  0.9998  0.9998  0.9999  0.9999
